t_sec,x,y,z,solve_ms
2.1701,4.000000,2.000000,0.000000,0.000
2.2702,4.000000,2.000000,0.000000,0.000
2.3718,4.000000,2.000000,0.000000,0.000
2.4707,4.000000,2.000000,0.000000,0.000
2.5700,4.000000,2.000000,0.000000,0.000
2.6700,4.000000,2.000000,0.000000,0.000
2.7711,4.000000,2.000000,0.000000,0.000
2.8707,4.000000,2.000000,0.000000,0.000
2.9706,4.000000,2.000000,0.000000,0.000
3.0703,4.000000,2.000000,0.000000,0.000
3.1699,4.000000,2.000000,0.000000,0.000
3.2767,4.000000,2.000000,0.000000,0.000
3.3718,4.000000,2.000000,0.000000,0.000
3.4704,4.000000,2.000000,0.000000,0.000
3.5701,4.000000,2.000000,0.000000,0.000
3.6697,4.000000,2.000000,0.000000,0.000
3.7730,4.000000,2.000000,0.000000,0.000
3.8705,4.000000,2.000000,0.000000,0.000
3.9703,4.000000,2.000000,0.000000,0.000
4.0725,4.000000,2.000000,0.000000,0.000
4.1705,4.000000,2.000000,0.000000,0.000
4.2705,4.000000,2.000000,0.000000,0.000
4.3707,4.000000,2.000000,0.000000,0.000
4.4723,3.989266,1.961439,-0.011032,0.000
4.5705,3.966499,1.977075,-0.007290,0.000
4.6711,3.976161,1.956450,-0.013387,0.000
4.7705,3.979273,2.023464,0.033509,0.000
4.8724,4.003363,1.978175,-0.017665,0.000
4.9703,3.934090,1.978138,0.015962,0.000
5.0710,3.946016,2.031103,-0.011140,0.000
5.1707,3.968180,2.001535,-0.005902,0.000
5.2729,3.920595,1.915397,0.004342,0.000
5.3708,3.969566,1.968753,0.014427,0.000
5.4704,3.959767,1.945096,0.019180,0.000
5.5700,3.974326,1.973161,0.024623,0.000
5.6705,4.036656,1.972391,-0.003659,0.000
5.7706,3.989621,2.002483,0.013675,0.000
5.8730,3.960477,1.982690,-0.002112,0.000
5.9709,3.995212,2.002203,0.014380,0.000
6.0717,4.000602,2.021542,0.000514,0.000
6.1713,4.008132,2.030102,0.000746,0.000
6.2712,3.979785,2.023071,0.019673,0.000
6.3714,3.959628,2.015452,0.009234,0.000
6.4711,3.992826,1.996508,0.015477,0.000
6.5758,3.968303,1.992949,-0.011997,0.000
6.6767,3.977310,1.994469,0.018303,0.000
6.7724,4.014762,2.018867,-0.005388,0.000
6.8706,4.005631,1.981874,-0.011637,0.000
6.9707,3.957335,1.996553,-0.002514,0.000
7.0723,4.022116,1.995921,-0.038076,0.000
7.1706,3.967689,1.994219,0.000055,0.000
