t_sec,x,y,z,solve_ms,n_zero_weights
0.403,0.0028,0.0126,-0.0240,2.473,0
0.504,0.0053,-0.0016,-0.0126,2.929,0
0.604,-0.0012,0.0152,-0.0295,3.368,0
0.705,-0.0451,-0.0160,-0.0053,4.350,0
0.806,-0.0196,-0.0290,-0.0034,3.719,0
0.905,-0.0071,-0.0079,-0.0080,3.598,0
1.004,0.0388,0.0162,0.0192,2.530,0
1.106,0.0881,0.0274,0.0031,4.184,0
1.206,0.0595,0.0071,-0.0168,3.593,0
1.305,0.0377,0.0184,0.0153,3.269,0
1.404,-0.0114,-0.0190,-0.0023,3.112,0
1.504,0.0182,0.0099,0.0209,3.191,0
1.605,-0.0307,-0.0133,-0.0069,3.728,0
1.703,0.0219,0.0234,-0.0173,1.993,0
1.804,0.0060,0.0280,-0.0128,3.307,0
1.903,-0.0180,0.0010,0.0010,2.331,0
2.004,0.0051,0.0084,0.0054,3.071,0
2.103,-0.0080,0.0101,-0.0392,2.301,0
2.204,0.0183,0.0175,0.0125,3.186,0
2.305,-0.0468,-0.0056,-0.0103,3.509,0
2.406,-0.0229,-0.0050,0.0027,4.923,0
2.503,-0.0277,-0.0219,-0.0147,1.998,0
2.604,-0.0354,-0.0028,0.0286,3.126,0
2.704,-0.0326,-0.0020,-0.0285,3.196,0
2.804,-0.0019,0.0131,-0.0113,3.464,0
2.905,0.0069,0.0188,-0.0103,3.690,0
3.004,-0.0426,0.0143,-0.0210,3.500,0
3.103,-0.0253,0.0048,-0.0065,2.030,0
3.203,-0.0357,-0.0058,-0.0387,2.202,0
3.303,-0.0509,-0.0031,-0.0088,2.376,0
3.405,-0.0498,-0.0102,-0.0259,3.143,0
3.504,0.0021,-0.0026,-0.0438,2.899,0
3.603,-0.0416,0.0003,-0.0708,2.180,0
3.705,0.0025,-0.0099,-0.0829,3.638,0
3.804,-0.0167,0.0200,-0.1030,2.931,0
3.903,-0.0712,0.0211,-0.1282,2.427,0
