t_sec,x,y,z,solve_ms,n_zero_weights
0.605,-0.0279,0.0076,0.0066,3.522,0
0.703,-0.0121,0.0059,0.0017,2.181,0
0.803,-0.0126,0.0069,0.0307,2.628,0
0.905,-0.0457,-0.0229,-0.0164,2.756,0
1.004,-0.0052,-0.0148,0.0470,2.730,0
1.104,-0.0295,-0.0163,0.0016,3.154,0
1.203,-0.0530,-0.0111,0.0242,2.111,0
1.307,-0.0115,-0.0120,0.0393,5.709,0
1.403,-0.0515,-0.0025,0.0248,2.269,0
1.504,0.0124,0.0029,0.0170,3.138,0
1.605,-0.0089,-0.0117,0.0204,2.764,0
1.704,0.0128,0.0194,0.0273,2.988,0
1.808,-0.0190,-0.0030,0.0067,3.721,0
1.905,-0.0109,0.0015,-0.0091,3.327,0
2.004,-0.0106,0.0012,-0.0017,3.367,0
2.106,-0.0145,0.0066,-0.0000,3.189,0
2.204,0.0569,0.0348,-0.0169,3.151,0
2.305,0.0287,0.0241,-0.0130,3.284,0
2.405,0.0500,0.0296,0.0327,3.370,0
2.505,0.0351,0.0439,-0.0016,3.292,0
2.604,0.0213,0.0472,-0.0179,2.906,0
2.704,0.0287,0.0513,-0.0054,2.256,0
2.805,0.0169,0.0393,-0.0042,3.070,0
2.905,0.0264,0.0431,0.0102,3.615,0
3.005,0.0155,0.0509,0.0305,3.630,0
3.107,-0.0379,0.0330,0.0204,5.719,0
3.205,-0.0391,0.0665,0.0088,3.409,0
3.306,-0.0302,0.0488,0.0125,3.522,0
3.403,-0.0478,0.0668,0.0214,2.611,0
3.506,-0.0001,0.0641,0.0251,4.241,0
3.604,-0.0710,0.0599,0.0071,2.923,0
3.708,-0.0083,0.0996,0.0079,5.631,0
3.806,-0.0301,0.0793,-0.0137,3.164,0
3.904,-0.0405,0.1022,-0.0113,2.084,0
4.003,-0.0888,0.0875,0.0052,2.464,0
4.106,-0.0485,0.0968,-0.0037,3.938,0
4.204,-0.0994,0.0966,-0.0180,3.178,0
4.306,-0.1488,0.0939,-0.0026,3.876,0
4.405,-0.0686,0.1170,0.0219,3.417,0
4.505,-0.1358,0.1227,0.0249,3.291,0
4.605,-0.0958,0.1268,0.0046,3.597,0
4.706,-0.1244,0.1368,0.0154,5.435,0
4.805,-0.1323,0.1244,0.0416,3.863,0
