t_sec,x,y,z,solve_ms,n_zero_weights
4.313,1.9969,0.0385,0.0136,4.663,0
4.408,1.9852,-0.0004,0.0020,6.463,0
4.503,2.0016,0.0132,0.0014,1.721,0
4.604,1.9831,0.0328,-0.0035,2.759,0
4.703,2.0008,0.0445,0.0095,2.188,0
4.804,2.0013,0.0013,-0.0215,2.855,0
4.906,1.9955,-0.0029,0.0026,5.223,0
5.004,1.9926,-0.0235,-0.0179,3.126,0
5.107,1.9781,-0.0167,-0.0112,6.211,0
5.205,1.9824,-0.0193,-0.0075,3.028,0
5.305,2.0190,0.0071,0.0047,3.350,0
5.406,2.0317,-0.0105,-0.0047,3.524,0
5.505,1.9966,0.0171,-0.0136,4.079,0
5.605,2.0033,0.0293,-0.0096,4.441,0
5.719,2.0123,0.0358,-0.0033,2.966,0
5.804,1.9869,-0.0094,-0.0086,3.292,0
5.904,2.0183,0.0038,-0.0185,2.956,0
6.010,2.0195,0.0223,-0.0122,6.648,0
6.109,1.9949,-0.0109,0.0003,6.931,0
6.207,2.0213,-0.0031,0.0144,4.466,0
6.307,1.9776,-0.0011,-0.0038,5.580,0
6.411,2.0029,-0.0024,-0.0118,4.075,0
6.506,1.9793,0.0058,-0.0026,4.150,0
6.604,1.9944,0.0182,-0.0166,3.024,0
6.712,1.9866,0.0089,-0.0004,4.595,0
6.809,2.0064,-0.0137,-0.0085,8.388,0
6.908,1.9958,-0.0087,-0.0140,5.521,0
7.007,1.9822,-0.0020,0.0071,5.729,0
7.119,1.9905,0.0272,0.0139,15.621,0
7.208,1.9807,0.0133,0.0142,3.767,0
7.306,2.0275,-0.0232,0.0154,5.088,0
7.407,2.0086,-0.0140,0.0085,5.211,0
7.506,2.0014,-0.0355,0.0101,3.508,0
7.612,2.0318,0.0279,0.0050,8.851,0
7.707,2.0367,-0.0070,0.0235,5.885,0
7.810,2.0476,-0.0096,-0.0023,7.029,0
7.905,2.0305,-0.0369,0.0013,3.092,0
8.007,1.9912,-0.0074,0.0105,4.454,0
8.104,1.9908,-0.0164,-0.0064,2.975,0
8.204,1.9919,-0.0218,-0.0018,1.865,0
8.305,2.0411,-0.0499,0.0229,3.104,0
8.403,1.9929,-0.0701,0.0154,2.335,0
8.505,2.0350,-0.0555,0.0262,2.932,0
8.604,2.0078,-0.0526,0.0100,3.571,0
8.703,1.9794,-0.0497,0.0249,2.653,0
8.804,2.0389,-0.0220,0.0102,3.055,0
8.904,2.0351,-0.0093,0.0250,3.287,0
9.008,2.0362,-0.0314,0.0140,2.922,0
9.104,2.0019,-0.0622,0.0287,2.842,0
9.205,2.0400,-0.0314,0.0440,3.164,0
9.303,1.9731,-0.0470,0.0308,1.949,0
9.406,2.0280,-0.0389,0.0275,4.204,0
9.510,2.0546,-0.0435,0.0381,6.673,0
9.605,2.0594,-0.0342,0.0450,3.434,0
9.705,2.0560,-0.0264,0.0301,3.432,0
9.803,2.0687,-0.0161,0.0469,2.757,0
9.905,2.0294,-0.0306,0.0329,3.497,0
10.004,2.0600,-0.0186,0.0578,2.397,0
10.107,2.0445,-0.0197,0.0484,3.097,0
10.208,2.0566,-0.0177,0.0529,5.188,0
10.304,2.0518,-0.0189,0.0524,2.949,0
10.404,2.0061,-0.0325,0.0628,2.273,0
10.505,2.0523,-0.0120,0.0646,3.906,0
10.604,2.0860,-0.0151,0.0402,3.273,0
10.704,2.0730,-0.0022,0.0247,3.195,0
10.806,2.0895,-0.0010,0.0181,4.059,0
10.906,2.1144,-0.0092,0.0437,4.039,0
11.004,2.1323,0.0035,0.0370,2.600,0
11.105,2.1582,-0.0049,0.0333,2.782,0
11.209,2.1853,0.0030,0.0304,4.792,0
11.306,2.1574,-0.0128,0.0391,4.823,0
11.405,2.1174,-0.0285,0.0417,3.457,0
11.506,2.1463,-0.0116,0.0715,2.681,0
11.608,2.0991,-0.0488,0.0724,6.643,0
11.706,2.0896,-0.0397,0.0680,4.468,0
11.806,2.1275,-0.0656,0.0695,4.353,0
11.908,2.1236,-0.0663,0.0717,6.136,0
12.005,2.1336,-0.0568,0.0973,3.584,0
12.105,2.1149,-0.0510,0.0805,4.197,0
12.205,2.0643,-0.0435,0.0771,4.412,0
12.305,2.0842,-0.0666,0.1027,2.690,0
12.405,2.0581,-0.0888,0.1080,3.409,0
12.505,2.1170,-0.0596,0.0880,3.817,0
12.605,2.0887,-0.0779,0.1017,3.614,0
12.706,2.0835,-0.0890,0.0929,3.579,0
12.806,2.0495,-0.0873,0.1189,3.670,0
12.906,2.0711,-0.0851,0.1083,2.833,0
13.004,2.0271,-0.1093,0.1041,2.658,0
13.104,2.0615,-0.1087,0.1316,2.700,0
13.204,2.0517,-0.0828,0.1452,2.595,0
13.304,2.0562,-0.1055,0.1261,2.327,0
13.404,2.0980,-0.0741,0.1450,3.086,0
13.507,2.0368,-0.1274,0.1304,5.199,0
13.604,2.0501,-0.1020,0.1191,3.366,0
13.706,2.0855,-0.1087,0.1031,3.957,0
13.804,2.0839,-0.0844,0.1071,2.603,0
13.903,2.0405,-0.0879,0.1077,1.974,0
14.009,2.0633,-0.1073,0.1063,7.498,0
14.106,2.0462,-0.1053,0.1275,4.679,0
14.204,2.0974,-0.0564,0.0987,2.709,0
14.305,2.0908,-0.1059,0.1105,3.802,0
14.404,2.0744,-0.0915,0.1043,3.348,0
14.506,2.0772,-0.1218,0.0976,3.530,0
14.615,2.1095,-0.0703,0.0911,9.104,0
14.705,2.0935,-0.1087,0.1139,3.468,0
14.803,2.1038,-0.0862,0.1132,2.375,0
14.906,2.0531,-0.1358,0.1240,3.911,0
15.007,2.1014,-0.1119,0.0944,5.725,0
15.104,2.0562,-0.1397,0.1102,3.262,0
15.207,2.0544,-0.1544,0.1366,5.410,0
15.309,2.1030,-0.1616,0.1106,2.629,0
15.406,2.1046,-0.1781,0.1121,3.667,0
15.511,2.1386,-0.1504,0.1114,8.204,0
15.611,2.1217,-0.1587,0.1052,4.414,0
15.712,2.1039,-0.1743,0.0814,8.192,0
15.816,2.1466,-0.1288,0.0770,3.538,0
15.904,2.0773,-0.1615,0.0573,2.904,0
16.004,2.0773,-0.1232,0.0759,2.901,0
16.103,2.0984,-0.1343,0.0540,2.331,0
16.205,2.0882,-0.1063,0.0606,3.361,0
16.304,2.1085,-0.1217,0.0816,2.645,0
16.404,2.0870,-0.0867,0.0609,2.806,0
16.509,2.1168,-0.0905,0.0814,7.835,0
16.605,2.0941,-0.0993,0.0698,3.896,0
16.703,2.1664,-0.0544,0.0923,2.193,0
16.803,2.0986,-0.0812,0.0965,2.594,0
16.907,2.1636,-0.0558,0.0941,5.186,0
17.004,2.1581,-0.0726,0.1166,3.148,0
17.106,2.1775,-0.0357,0.1142,4.526,0
17.209,2.1947,-0.0453,0.1265,7.444,0
17.311,2.1862,-0.0515,0.1234,8.344,0
17.406,2.1864,-0.0625,0.1334,3.626,0
17.508,2.1920,-0.0618,0.1104,4.566,0
17.607,2.1965,-0.0801,0.1252,3.948,0
17.711,2.1937,-0.0340,0.1232,2.943,0
17.804,2.2048,-0.0297,0.1211,3.251,0
17.904,2.1952,-0.0311,0.0911,3.153,0
18.005,2.1705,-0.0319,0.1030,2.773,0
18.110,2.2088,-0.0109,0.1028,6.272,0
18.210,2.2364,0.0082,0.0990,9.237,0
18.308,2.2207,-0.0180,0.0988,5.080,0
18.405,2.2380,-0.0126,0.0760,3.222,0
18.504,2.2289,-0.0425,0.0603,2.288,0
18.606,2.2305,-0.0129,0.0645,5.103,0
18.707,2.2164,-0.0472,0.0898,4.160,0
18.806,2.2334,-0.0067,0.0671,4.099,0
18.905,2.1845,-0.0390,0.0813,3.569,0
19.008,2.1908,-0.0151,0.0724,4.018,0
19.112,2.1635,-0.0393,0.0553,6.782,0
19.206,2.1602,-0.0025,0.0724,4.958,0
19.306,2.1987,-0.0098,0.0468,3.819,0
19.406,2.1882,-0.0107,0.0425,4.022,0
19.504,2.2143,0.0067,0.0296,3.049,0
19.613,2.1550,-0.0106,0.0288,6.175,0
19.708,2.1381,0.0097,0.0300,3.875,0
19.804,2.1864,0.0246,0.0469,2.684,0
