t_sec,x,y,z,solve_ms,n_zero_weights
4.605,1.9827,-0.0400,-0.0168,3.912,0
4.704,2.0102,0.0194,0.0172,3.395,0
4.803,2.0233,-0.0286,-0.0240,2.481,0
4.906,1.9808,-0.0212,0.0141,3.457,0
5.004,2.0257,-0.0187,-0.0003,3.099,0
5.103,1.9658,-0.0156,0.0071,2.478,0
5.205,2.0204,0.0171,-0.0223,3.680,0
5.305,1.9717,-0.0149,-0.0064,4.363,0
5.405,1.9977,0.0338,0.0022,4.413,0
5.504,1.9947,0.0140,-0.0030,3.071,0
5.603,1.9954,-0.0278,-0.0063,2.177,0
5.704,2.0014,0.0202,-0.0232,2.969,0
5.803,1.9975,0.0104,0.0223,1.890,0
5.907,2.0044,0.0027,0.0172,2.026,0
6.004,2.0173,0.0049,-0.0006,3.325,0
6.106,1.9976,0.0012,0.0060,5.470,0
6.206,2.0055,0.0040,0.0041,3.817,0
6.303,1.9710,-0.0023,-0.0020,2.418,0
6.404,1.9896,-0.0342,0.0401,3.229,0
6.507,2.0012,-0.0151,0.0030,3.561,0
6.604,1.9728,-0.0267,-0.0150,3.009,0
6.706,2.0136,-0.0235,0.0037,3.507,0
6.803,2.0252,-0.0202,-0.0062,1.875,0
6.905,1.9704,-0.0059,0.0192,3.557,0
7.005,1.9479,-0.0169,0.0151,4.238,0
7.111,1.9759,-0.0065,0.0224,6.258,0
7.205,1.9898,-0.0171,0.0254,3.399,0
7.303,2.0243,0.0203,0.0095,2.109,0
7.406,1.9858,0.0425,0.0190,4.785,0
7.503,1.9718,0.0085,0.0047,2.606,0
7.604,1.9842,-0.0106,0.0069,3.179,0
7.703,2.0240,0.0165,-0.0118,2.101,0
7.805,2.0196,0.0192,-0.0119,3.933,0
7.903,1.9789,0.0112,0.0049,2.653,0
8.005,1.9329,-0.0103,-0.0070,3.645,0
8.107,1.9725,0.0041,-0.0149,3.820,0
8.205,1.9413,-0.0131,-0.0150,3.970,0
8.306,2.0075,0.0155,-0.0143,4.724,0
8.404,2.0036,-0.0249,-0.0040,3.207,0
8.503,1.9987,-0.0000,-0.0153,2.163,0
8.604,2.0054,-0.0277,-0.0129,1.873,0
8.704,2.0056,-0.0341,-0.0013,2.908,0
8.803,1.9461,-0.0367,0.0145,2.623,0
8.904,1.9770,0.0094,0.0021,2.953,0
9.005,1.9798,0.0243,0.0120,2.420,0
9.107,1.9763,0.0017,-0.0058,6.168,0
9.204,1.9896,0.0106,0.0061,3.179,0
9.303,2.0407,0.0278,0.0011,1.963,0
9.405,2.0118,-0.0077,0.0234,3.554,0
9.509,1.9978,0.0166,-0.0081,7.616,0
9.607,1.9879,0.0012,0.0024,4.267,0
9.703,2.0047,0.0089,-0.0084,2.309,0
9.805,1.9761,0.0095,0.0101,4.239,0
9.905,1.9962,0.0365,0.0091,3.526,0
10.004,2.0090,0.0292,0.0169,2.761,0
10.103,1.9610,0.0248,0.0448,2.519,0
10.208,1.9933,0.0196,0.0327,6.260,0
10.303,1.9508,0.0188,0.0254,2.183,0
10.405,1.9148,-0.0160,0.0503,3.359,0
10.511,1.9435,0.0061,0.0351,8.954,0
10.604,1.9739,0.0160,0.0536,2.792,0
10.704,1.9877,-0.0037,0.0649,3.215,0
10.810,1.9593,-0.0279,0.0662,3.129,0
10.905,1.9691,-0.0022,0.0642,3.927,0
11.009,1.9378,-0.0111,0.0615,4.852,0
11.109,1.9775,-0.0000,0.0713,3.645,0
11.203,1.9375,-0.0149,0.0462,2.336,0
11.304,1.9843,-0.0176,0.0535,3.395,0
11.406,2.0075,-0.0298,0.0511,4.730,0
11.505,1.9855,0.0054,0.0519,3.680,0
11.608,1.9690,-0.0094,0.0361,4.171,0
11.704,2.0016,0.0014,0.0460,3.420,0
11.803,2.0061,0.0019,0.0647,2.193,0
11.907,1.9358,-0.0217,0.0464,4.466,0
12.009,1.9883,-0.0278,0.0592,3.069,0
12.105,1.9647,-0.0493,0.0397,2.800,0
12.205,1.9507,-0.0574,0.0347,4.263,0
12.305,1.9182,-0.0652,0.0323,2.986,0
12.405,1.9052,-0.0787,-0.0056,3.701,0
12.505,1.9617,-0.0312,0.0100,3.897,0
12.604,1.9576,-0.0473,0.0150,2.481,0
12.704,2.0041,-0.0325,0.0379,2.927,0
12.803,1.9382,-0.0412,0.0165,2.418,0
12.906,1.9786,-0.0344,0.0098,4.031,0
13.007,2.0022,-0.0009,-0.0220,3.439,0
13.107,1.9688,0.0024,0.0003,2.651,0
13.204,1.9285,-0.0394,0.0150,2.247,0
13.303,1.8940,-0.0419,0.0327,2.566,0
13.407,1.9243,-0.0151,0.0121,4.138,0
13.505,1.9407,-0.0382,-0.0194,3.673,0
13.606,1.8988,-0.0495,-0.0122,3.288,0
13.704,1.8806,-0.0460,-0.0109,3.283,0
13.806,1.8603,-0.0691,-0.0285,2.567,0
13.903,1.8727,-0.0486,-0.0375,2.256,0
14.006,1.8691,-0.0500,-0.0252,3.486,0
14.107,1.9032,-0.0289,-0.0381,4.113,0
14.205,1.8571,-0.0480,-0.0517,3.099,0
14.306,1.9042,-0.0153,-0.0354,3.741,0
14.404,1.8815,-0.0287,-0.0228,2.656,0
14.504,1.8960,-0.0252,-0.0061,2.896,0
14.604,1.9189,-0.0003,-0.0008,3.152,0
