t_sec,x,y,z,solve_ms,n_zero_weights
3.404,1.9989,0.0124,0.0105,2.498,0
3.504,2.0010,-0.0109,-0.0132,2.259,0
3.605,1.9899,0.0270,0.0017,3.256,0
3.705,1.9697,0.0073,0.0237,3.586,0
3.805,1.9531,-0.0173,-0.0141,3.747,0
3.905,1.9525,0.0188,-0.0147,3.378,0
4.006,1.9778,-0.0151,-0.0186,3.735,0
4.106,1.9850,-0.0234,-0.0185,4.525,0
4.204,1.9879,-0.0281,-0.0175,2.556,0
4.304,1.9905,-0.0317,-0.0166,2.814,0
4.418,1.9771,0.0196,-0.0056,14.544,0
4.506,1.9936,0.0314,-0.0030,4.535,0
4.607,1.9976,0.0204,-0.0058,5.954,0
4.706,2.0173,-0.0037,0.0186,5.065,0
4.806,1.9996,0.0262,0.0085,3.666,0
4.905,1.9646,-0.0033,0.0031,3.757,0
5.006,1.9868,-0.0033,-0.0041,4.302,0
5.109,1.9788,0.0100,0.0114,6.424,0
5.205,1.9922,-0.0288,-0.0012,2.432,0
5.304,1.9638,-0.0145,0.0147,2.621,0
5.405,1.9654,-0.0247,-0.0123,3.439,0
5.512,2.0314,0.0036,0.0100,9.916,0
5.604,2.0107,-0.0510,0.0173,2.560,0
5.711,1.9965,-0.0174,-0.0027,10.145,0
5.807,2.0109,-0.0366,-0.0022,3.942,0
5.904,1.9962,-0.0167,0.0045,2.374,0
6.004,1.9928,0.0005,-0.0013,2.905,0
6.104,2.0208,-0.0088,0.0027,2.711,0
6.205,2.0239,0.0168,-0.0025,3.607,0
6.304,2.0239,0.0410,-0.0072,2.522,0
6.405,2.0225,0.0265,-0.0050,3.608,0
6.505,2.0119,0.0160,-0.0166,3.493,0
6.608,2.0142,0.0422,0.0094,5.538,0
6.706,2.0289,0.0062,0.0218,3.936,0
6.809,2.0402,0.0113,-0.0015,4.267,0
6.905,2.0550,0.0306,-0.0111,3.365,0
7.007,2.0083,0.0099,-0.0066,5.842,0
7.107,2.0177,0.0032,-0.0303,5.792,0
7.203,2.0496,0.0081,-0.0245,2.361,0
7.304,2.0291,-0.0002,-0.0235,2.656,0
7.405,2.0169,-0.0162,-0.0099,3.670,0
7.507,1.9956,-0.0213,-0.0045,4.304,0
7.604,1.9761,-0.0407,0.0028,2.903,0
7.707,1.9946,-0.0166,0.0044,5.025,0
7.804,1.9858,-0.0407,0.0186,2.504,0
7.906,1.9844,-0.0512,0.0069,3.090,0
8.004,2.0052,-0.0448,0.0265,2.753,0
8.107,1.9799,-0.0161,0.0170,4.000,0
8.206,1.9444,-0.0495,-0.0101,4.058,0
8.304,2.0000,-0.0342,0.0066,3.408,0
8.405,2.0000,0.0133,0.0095,2.298,0
8.513,1.9848,-0.0071,-0.0075,5.345,0
8.608,1.9607,-0.0303,0.0037,7.012,0
8.704,2.0172,-0.0102,0.0156,2.815,0
8.804,1.9890,-0.0229,0.0125,2.694,0
