t_sec,x,y,z,solve_ms,n_zero_weights
3.407,4.0000,0.5185,0.0045,5.797,4
3.505,4.0000,0.5333,0.0154,3.355,4
3.606,4.0000,0.5341,0.0177,3.942,4
3.704,4.0000,0.4515,-0.0065,2.855,4
3.804,4.0000,0.4515,-0.0097,2.420,4
3.905,4.0000,0.4458,-0.0096,2.427,4
4.007,4.0000,0.4278,-0.0024,5.685,4
4.105,4.0000,0.4309,-0.0084,3.760,4
4.204,4.0000,0.4641,-0.0161,2.784,4
4.304,4.0000,0.3869,-0.0044,2.455,4
4.403,4.0000,0.4525,0.0079,1.764,4
4.505,4.0000,0.4986,-0.0126,3.360,4
4.606,4.0000,0.4727,-0.0087,3.909,4
4.705,4.0000,0.4657,-0.0073,3.430,4
4.803,4.0000,0.4879,0.0100,2.370,4
4.907,4.0000,0.3898,0.0115,4.870,4
5.004,4.0000,0.4599,-0.0010,2.488,4
5.105,4.0000,0.4200,0.0002,3.232,4
5.204,4.0000,0.4300,-0.0063,2.254,4
5.305,4.0000,0.4038,0.0018,3.187,4
5.405,4.0000,0.3896,0.0014,3.351,4
5.504,4.0000,0.3624,0.0075,2.124,4
5.603,4.0000,0.3662,0.0125,2.347,4
5.704,4.0000,0.3424,-0.0001,2.274,4
5.807,4.0000,0.3211,-0.0053,4.701,4
5.905,4.0000,0.2653,-0.0003,3.082,4
6.006,4.0000,0.2660,0.0096,4.278,4
6.104,4.0000,0.2881,0.0151,3.580,4
6.212,4.0000,0.2682,0.0174,9.088,4
6.306,4.0000,0.2688,0.0031,4.337,4
6.404,4.0000,0.2799,0.0141,2.274,4
6.506,4.0000,0.2483,0.0109,4.776,3
6.606,4.0000,0.2370,0.0321,4.103,3
6.705,4.0000,0.2377,0.0492,2.900,3
6.806,4.0000,0.2334,0.0559,4.084,3
6.905,4.0000,0.1938,0.0370,3.330,3
7.004,4.0000,0.1870,0.0543,2.568,3
7.105,4.0000,0.1623,0.0566,3.168,3
7.205,4.0000,0.1900,0.0468,3.230,3
7.306,4.0000,0.1771,0.0602,4.644,3
7.404,4.0000,0.1496,0.0593,2.599,3
7.505,4.0000,0.1463,0.0569,3.243,3
7.606,4.0000,0.1665,0.0619,3.663,3
7.705,4.0000,0.1424,0.0711,4.039,3
7.805,4.0000,0.0843,0.0737,3.412,3
7.904,4.0000,0.1499,0.0835,2.792,3
8.006,4.0000,0.1180,0.0770,3.922,3
8.106,4.0000,0.1433,0.0771,4.209,3
8.205,4.0000,0.1563,0.0686,3.630,3
8.303,4.0000,0.1327,0.0682,2.292,3
8.404,4.0000,0.1915,0.0701,2.687,3
8.506,4.0000,0.1439,0.0765,4.077,3
8.605,4.0000,0.1471,0.0632,3.805,3
8.706,4.0000,0.2066,0.0643,4.198,3
8.805,4.0000,0.1576,0.0771,2.993,3
8.906,4.0000,0.1506,0.0826,3.582,3
9.007,4.0000,0.1319,0.0835,5.439,3
9.125,4.0000,0.1255,0.0705,21.584,3
9.206,4.0000,0.1497,0.0762,4.024,3
9.309,4.0000,0.1711,0.0755,7.345,3
9.405,4.0000,0.1261,0.0634,3.833,3
9.505,4.0000,0.1277,0.0723,3.459,3
9.604,4.0000,0.1169,0.0893,2.879,3
9.706,4.0000,0.0986,0.0790,4.161,3
9.806,4.0000,0.0645,0.0870,3.111,3
9.903,4.0000,0.0609,0.0794,2.282,3
10.005,4.0000,-0.0285,0.0765,3.781,3
10.104,4.0000,0.0507,0.0801,2.619,3
10.207,4.0000,0.0465,0.0598,5.218,3
10.311,4.0000,0.0386,0.0688,3.644,3
10.404,4.0000,0.0740,0.0894,3.224,3
10.507,4.0000,0.0954,0.0867,3.580,3
10.606,4.0000,0.1053,0.0873,3.947,3
10.706,4.0000,0.1145,0.0757,4.710,3
10.805,4.0000,0.1105,0.0895,3.832,3
10.905,4.0000,0.0733,0.1057,4.072,3
11.004,4.0000,0.0770,0.1017,2.994,3
11.107,4.0000,0.0796,0.0915,3.864,3
11.206,4.0000,0.0805,0.1164,4.067,3
11.306,4.0000,0.0720,0.1152,4.248,3
11.408,4.0000,0.0476,0.1314,6.761,3
11.504,4.0000,0.0165,0.1150,3.260,3
11.605,4.0000,-0.0545,0.1206,3.497,3
11.706,4.0000,-0.0525,0.1248,3.736,3
11.804,4.0000,-0.0268,0.1085,3.054,3
11.904,4.0000,-0.0693,0.1210,2.083,3
12.007,4.0000,-0.0483,0.1039,4.397,3
12.104,4.0000,-0.0638,0.0911,3.090,3
12.204,4.0000,-0.0409,0.0961,3.362,3
12.305,4.0000,-0.1060,0.0913,3.416,3
12.404,4.0000,-0.1116,0.0969,2.644,3
12.507,4.0000,-0.0940,0.0928,5.135,3
12.604,4.0000,-0.1276,0.1002,2.946,3
12.709,4.0000,-0.1390,0.1081,7.493,3
12.804,4.0000,-0.0862,0.1041,2.466,3
12.906,4.0000,-0.1053,0.1044,4.193,3
13.003,4.0000,-0.1089,0.0953,2.021,3
13.105,4.0000,-0.1172,0.1013,2.244,3
13.207,4.0000,-0.0796,0.1176,5.333,3
13.305,4.0000,-0.1398,0.1077,2.624,3
13.405,4.0000,-0.1689,0.1339,4.033,3
13.504,4.0000,-0.1823,0.1243,2.441,3
13.605,4.0000,-0.2219,0.1262,3.900,3
13.705,4.0000,-0.2052,0.1223,4.007,3
13.807,4.0000,-0.2063,0.1369,5.316,3
13.909,4.0000,-0.1906,0.1350,6.192,3
14.004,4.0000,-0.1608,0.1372,2.990,3
14.105,4.0000,-0.1690,0.1411,3.854,3
14.205,4.0000,-0.2314,0.1408,3.066,3
14.307,4.0000,-0.1802,0.1357,3.327,3
14.404,4.0000,-0.1882,0.1487,2.965,3
14.506,4.0000,-0.2616,0.1240,3.614,3
14.605,4.0000,-0.1821,0.1262,3.201,3
14.706,4.0000,-0.1982,0.1468,2.721,3
14.805,4.0000,-0.1962,0.1570,3.217,3
14.905,4.0000,-0.1734,0.1658,3.617,3
15.006,4.0000,-0.2085,0.1621,4.269,3
15.108,4.0000,-0.1972,0.1535,5.177,3
15.207,4.0000,-0.2106,0.1510,5.426,3
15.306,4.0000,-0.1960,0.1768,3.400,3
15.404,4.0000,-0.1620,0.1560,3.471,3
15.505,4.0000,-0.1678,0.1725,3.451,3
15.604,4.0000,-0.1452,0.1640,2.775,3
15.705,4.0000,-0.2085,0.1439,3.295,3
15.805,4.0000,-0.2417,0.1289,3.903,3
15.906,4.0000,-0.1598,0.1238,4.518,3
16.004,4.0000,-0.1631,0.1242,2.579,3
16.104,4.0000,-0.1617,0.1311,2.063,3
16.205,4.0000,-0.1742,0.1329,3.702,3
16.306,4.0000,-0.1475,0.1432,5.031,3
16.405,4.0000,-0.1488,0.1222,4.036,3
16.504,4.0000,-0.1718,0.1344,3.072,3
16.604,4.0000,-0.1952,0.1245,2.444,3
16.705,4.0000,-0.1558,0.1223,3.128,3
16.806,4.0000,-0.2068,0.1347,4.637,3
16.904,4.0000,-0.2052,0.1351,2.733,3
17.007,4.0000,-0.2107,0.1366,5.822,3
17.105,4.0000,-0.2033,0.1363,3.843,3
17.205,4.0000,-0.1967,0.1391,3.615,3
17.305,4.0000,-0.2007,0.1468,3.646,3
17.404,4.0000,-0.1743,0.1332,2.805,3
17.504,4.0000,-0.1637,0.1480,3.037,3
17.604,4.0000,-0.1873,0.1535,2.651,3
17.705,4.0000,-0.2296,0.1372,3.568,3
17.805,4.0000,-0.2419,0.1347,3.018,3
17.908,4.0000,-0.2649,0.1457,3.749,3
18.006,4.0000,-0.3550,0.1290,4.660,3
18.114,4.0000,-0.3438,0.1181,2.533,3
18.207,4.0000,-0.2893,0.1222,4.209,3
18.309,4.0000,-0.3019,0.1223,6.584,3
18.404,4.0000,-0.2904,0.1002,3.007,3
18.505,4.0000,-0.3065,0.0912,3.267,3
18.604,4.0000,-0.3361,0.0995,2.946,3
18.706,4.0000,-0.3324,0.1005,3.526,3
18.806,4.0000,-0.3761,0.1102,4.875,3
18.904,4.0000,-0.3690,0.0982,2.567,3
19.005,4.0000,-0.3644,0.1184,2.855,3
19.106,4.0000,-0.3239,0.1000,4.740,3
19.204,4.0000,-0.3551,0.1191,2.704,3
19.305,4.0000,-0.4423,0.1174,3.523,3
19.406,4.0000,-0.3901,0.1287,3.466,3
19.506,4.0000,-0.3474,0.1301,2.952,3
19.610,4.0000,-0.3322,0.1373,7.662,3
22.186,4.0000,-0.3180,0.1422,3.761,3
22.285,4.0000,-0.3291,0.1447,3.265,3
22.385,4.0000,-0.2997,0.1473,2.496,3
22.490,4.0000,-0.3578,0.1629,5.381,3
22.586,4.0000,-0.3492,0.1553,3.105,3
22.689,4.0000,-0.3030,0.1604,6.547,3
22.786,4.0000,-0.3326,0.1737,3.024,3
22.886,4.0000,-0.3034,0.1679,4.165,3
22.986,4.0000,-0.3245,0.1861,3.432,3
23.088,4.0000,-0.3315,0.1816,4.077,3
23.187,4.0000,-0.3083,0.1890,3.210,3
23.286,4.0000,-0.3088,0.1703,3.601,3
23.386,4.0000,-0.2747,0.1685,3.959,3
23.485,4.0000,-0.3053,0.1467,2.907,3
23.586,4.0000,-0.3466,0.1548,3.546,3
23.686,4.0000,-0.3464,0.1750,4.299,3
23.785,4.0000,-0.3205,0.1796,2.193,3
23.886,4.0000,-0.2977,0.1904,3.060,3
23.988,4.0000,-0.3293,0.1878,3.687,3
24.084,4.0000,-0.3354,0.1788,2.588,3
24.185,4.0000,-0.2958,0.1787,2.529,3
24.284,4.0000,-0.3137,0.1766,2.508,3
24.386,4.0000,-0.3304,0.1677,3.408,3
24.486,4.0000,-0.3075,0.1543,3.775,3
24.586,4.0000,-0.3274,0.1673,3.247,3
24.686,4.0000,-0.3565,0.1554,3.741,3
24.785,4.0000,-0.3796,0.1585,3.052,3
24.885,4.0000,-0.3372,0.1498,2.716,3
24.986,4.0000,-0.3424,0.1487,2.832,3
25.087,4.0000,-0.3225,0.1673,4.469,3
25.187,4.0000,-0.2996,0.1632,4.280,3
25.285,4.0000,-0.3494,0.1899,3.027,3
25.386,4.0000,-0.3480,0.1933,3.155,3
25.486,4.0000,-0.3284,0.1974,4.161,3
25.587,4.0000,-0.3965,0.1798,4.288,3
25.686,4.0000,-0.2730,0.1803,4.337,3
25.786,4.0000,-0.3035,0.1918,2.807,3
25.887,4.0000,-0.3070,0.1821,3.517,3
25.986,4.0000,-0.2725,0.1791,3.259,3
26.086,4.0000,-0.2183,0.1688,4.287,3
26.186,4.0000,-0.2704,0.1710,3.649,3
26.286,4.0000,-0.2756,0.1601,2.204,3
26.385,4.0000,-0.3315,0.1641,2.802,3
26.486,4.0000,-0.3130,0.1589,3.560,3
26.585,4.0000,-0.3392,0.1720,2.807,3
26.686,4.0000,-0.3457,0.1737,3.668,3
26.786,4.0000,-0.3219,0.1662,3.771,3
26.886,4.0000,-0.3541,0.1660,3.428,3
26.984,4.0000,-0.3432,0.1668,2.408,3
27.087,4.0000,-0.3620,0.1855,2.346,3
27.187,4.0000,-0.3652,0.1853,5.687,3
27.287,4.0000,-0.3742,0.1703,3.192,3
27.386,4.0000,-0.3653,0.1749,2.795,3
27.487,4.0000,-0.3737,0.1772,4.414,3
27.586,4.0000,-0.3799,0.1683,3.127,3
27.686,4.0000,-0.3551,0.1691,3.262,3
27.786,4.0000,-0.3618,0.1833,3.642,3
27.886,4.0000,-0.3509,0.1634,3.002,3
27.984,4.0000,-0.3398,0.1659,2.321,3
28.085,4.0000,-0.3285,0.1576,3.102,3
28.185,4.0000,-0.3021,0.1590,3.380,3
28.286,4.0000,-0.3349,0.1777,3.745,3
28.397,4.0000,-0.2812,0.1700,15.007,3
28.485,4.0000,-0.2455,0.1685,2.632,3
28.587,4.0000,-0.3288,0.1597,4.190,3
28.685,4.0000,-0.3068,0.1682,3.008,3
28.784,4.0000,-0.3389,0.1765,2.274,3
28.886,4.0000,-0.3256,0.1793,3.105,3
28.985,4.0000,-0.2643,0.1758,3.173,3
29.085,4.0000,-0.2105,0.1580,2.062,3
29.186,4.0000,-0.2092,0.1539,3.127,3
29.284,4.0000,-0.2300,0.1521,2.492,3
29.386,4.0000,-0.2753,0.1397,3.238,3
29.485,4.0000,-0.3080,0.1348,2.930,3
29.584,4.0000,-0.2934,0.1326,2.223,3
29.686,4.0000,-0.2939,0.1497,3.908,3
29.786,4.0000,-0.2622,0.1447,4.273,3
29.886,4.0000,-0.2868,0.1434,4.114,3
29.986,4.0000,-0.2665,0.1485,3.301,3
30.084,4.0000,-0.2952,0.1589,2.488,3
30.188,4.0000,-0.3067,0.1461,3.655,3
30.284,4.0000,-0.2607,0.1516,2.465,3
30.388,4.0000,-0.2094,0.1482,5.704,3
30.485,4.0000,-0.2243,0.1749,2.982,3
30.585,4.0000,-0.2197,0.1567,3.239,3
30.685,4.0000,-0.2439,0.1606,2.322,3
30.786,4.0000,-0.2783,0.1627,3.512,3
30.884,4.0000,-0.3105,0.1702,2.196,3
