t_sec,x,y,z,solve_ms,n_zero_weights
3.804,1.9955,1.9905,-0.0069,2.734,0
3.908,1.9742,1.9991,0.0274,2.705,0
4.007,1.9778,2.0011,0.0158,4.478,0
4.105,1.9722,2.0191,0.0332,3.217,0
4.203,2.0041,1.9840,0.0192,2.303,0
4.306,1.9740,1.9908,-0.0010,4.226,0
4.403,1.9679,2.0316,0.0058,2.139,0
4.503,1.9912,1.9740,0.0044,2.372,0
4.608,2.0176,2.0269,0.0044,2.734,0
4.708,2.0103,2.0449,0.0116,6.859,0
4.803,1.9985,1.9930,0.0047,2.138,0
4.905,1.9935,1.9910,0.0206,3.408,0
5.006,1.9577,1.9701,0.0008,4.583,0
5.113,1.9962,1.9640,0.0161,10.590,0
5.214,1.9808,2.0188,-0.0175,11.873,0
5.302,1.9645,2.0302,-0.0097,1.640,0
5.414,2.0181,2.0065,-0.0101,3.707,0
5.503,2.0269,2.0055,-0.0173,2.216,0
5.604,2.0140,2.0027,-0.0109,2.656,0
5.705,2.0143,2.0090,0.0254,2.830,0
5.811,1.9660,1.9702,0.0192,2.184,0
5.907,2.0018,1.9744,0.0367,5.811,0
6.006,1.9907,2.0085,0.0081,5.216,0
6.103,2.0040,1.9992,-0.0041,2.188,0
6.205,1.9771,2.0037,0.0069,3.151,0
6.307,1.9932,2.0063,0.0175,3.149,0
6.403,1.9974,1.9985,0.0045,2.133,0
6.506,2.0009,2.0364,0.0077,3.186,0
6.604,1.9946,2.0286,0.0121,2.795,0
6.704,2.0071,2.0551,0.0108,3.055,0
6.804,2.0151,1.9810,0.0000,3.247,0
6.905,2.0280,1.9660,0.0082,3.435,0
7.004,2.0147,1.9591,0.0127,2.791,0
7.103,1.9894,1.9589,0.0150,2.287,0
7.208,1.9699,1.9823,0.0138,4.716,0
7.304,1.9774,1.9734,0.0025,2.744,0
7.404,1.9474,1.9719,0.0019,2.840,0
7.505,1.9863,1.9804,0.0130,2.719,0
7.604,1.9842,1.9968,0.0065,2.607,0
7.704,1.9958,1.9642,-0.0045,3.248,0
7.804,2.0106,1.9958,-0.0114,3.185,0
7.904,1.9965,2.0198,0.0000,3.217,0
8.004,1.9784,1.9820,0.0089,2.089,0
8.104,1.9610,1.9755,-0.0018,2.860,0
8.204,1.9906,1.9713,0.0048,3.722,0
8.305,1.9824,1.9767,-0.0088,3.356,0
8.404,1.9942,1.9940,0.0053,2.892,0
8.505,1.9885,2.0142,-0.0057,3.316,0
8.603,1.9960,2.0047,-0.0159,2.574,0
8.703,1.9935,2.0265,-0.0011,2.433,0
8.804,2.0094,1.9918,-0.0051,2.951,0
8.904,1.9731,2.0272,-0.0126,3.003,0
9.004,1.9897,2.0003,-0.0046,3.027,0
9.109,2.0006,2.0292,0.0065,6.913,0
9.207,1.9941,2.0230,0.0025,4.995,0
9.304,1.9452,1.9865,-0.0103,2.589,0
9.409,1.9261,1.9877,0.0038,7.451,0
9.504,1.9499,2.0258,-0.0193,2.912,0
9.607,1.9416,1.9934,-0.0170,5.311,0
9.707,1.9297,2.0234,-0.0359,4.327,0
9.804,1.9487,2.0260,-0.0451,3.193,0
9.906,1.9403,1.9866,-0.0276,4.063,0
10.005,1.9152,1.9737,-0.0331,3.335,0
10.104,1.9386,1.9847,-0.0473,2.108,0
10.205,1.8876,1.9862,-0.0558,3.179,0
10.308,1.9066,1.9669,-0.0839,3.082,0
10.410,1.9189,1.9534,-0.0464,3.395,0
10.507,1.9208,1.9439,-0.0920,3.562,0
10.604,1.9057,1.9304,-0.1019,2.884,0
10.705,1.8766,1.9425,-0.0757,3.127,0
10.803,1.8349,1.9356,-0.0955,2.497,0
10.904,1.8328,1.9646,-0.0910,2.919,0
11.005,1.8178,1.9594,-0.0871,3.499,0
11.104,1.8035,1.9401,-0.1198,2.594,0
11.204,1.7827,1.9209,-0.1005,3.111,0
11.303,1.7959,1.9686,-0.1121,2.460,0
11.407,1.8233,1.9140,-0.0928,2.541,0
11.504,1.8454,1.9260,-0.0974,3.034,0
11.608,1.8632,1.9603,-0.0874,4.387,0
11.708,1.8803,1.9506,-0.0964,4.930,0
11.807,1.8273,1.9746,-0.0729,2.952,0
11.904,1.8441,1.9686,-0.0963,2.636,0
12.005,1.7976,1.9530,-0.1023,3.563,0
12.104,1.8296,1.9328,-0.1122,3.096,0
12.205,1.8345,1.9240,-0.1125,3.336,0
12.304,1.8383,1.9256,-0.1069,2.785,0
12.405,1.8270,1.9475,-0.1054,3.197,0
12.503,1.8501,1.9296,-0.0955,2.530,0
12.604,1.8323,1.9223,-0.1249,2.536,0
12.704,1.7972,1.9033,-0.1018,2.979,0
12.807,1.7848,1.9056,-0.1165,3.621,0
12.907,1.7889,1.8922,-0.1109,4.084,0
13.004,1.7746,1.9018,-0.0890,3.073,0
13.106,1.7885,1.9048,-0.0974,3.247,0
13.204,1.7974,1.8989,-0.0699,3.240,0
13.305,1.7822,1.8861,-0.0590,4.133,0
13.404,1.7650,1.8929,-0.0481,2.675,0
13.504,1.8131,1.9092,-0.0525,2.269,0
13.606,1.8251,1.9217,-0.0378,4.490,0
13.704,1.8665,1.8806,-0.0486,2.833,0
13.808,1.8643,1.9134,-0.0369,5.639,0
13.904,1.8567,1.9037,-0.0412,2.904,0
14.004,1.8477,1.9288,-0.0387,2.533,0
