t_sec,x,y,z,solve_ms,n_zero_weights
3.307,2.0023,2.0067,-0.0114,3.547,0
3.404,1.9954,1.9933,-0.0059,2.869,0
3.508,1.9946,2.0150,0.0125,5.072,0
3.606,2.0221,2.0036,-0.0057,5.347,0
3.708,2.0475,2.0294,0.0033,4.899,0
3.806,2.0292,2.0128,0.0009,3.669,0
3.905,2.0065,2.0190,0.0002,3.873,0
4.004,2.0047,2.0014,0.0144,2.887,0
4.105,2.0251,2.0201,0.0135,3.826,0
4.209,2.0205,1.9952,-0.0178,4.861,0
4.307,2.0402,1.9861,-0.0292,4.629,0
4.406,2.0480,1.9758,-0.0411,3.308,0
4.504,2.0555,1.9689,-0.0492,2.622,0
4.608,2.0638,1.9626,-0.0471,5.411,0
4.710,1.9897,2.0093,-0.0278,3.248,0
4.808,1.9862,2.0035,-0.0181,3.344,0
4.909,1.9839,1.9560,-0.0190,4.601,0
5.006,2.0022,1.9788,-0.0258,4.976,0
5.106,2.0175,2.0151,0.0036,3.637,0
5.206,2.0225,1.9899,-0.0162,2.199,0
5.303,1.9704,2.0082,0.0287,1.889,0
5.403,2.0135,1.9687,0.0152,2.159,0
5.505,1.9988,1.9852,0.0214,3.563,0
5.607,1.9791,1.9514,0.0141,3.180,0
5.706,2.0266,1.9506,0.0068,2.693,0
5.814,2.0124,1.9575,-0.0067,3.335,0
5.906,1.9901,2.0211,0.0009,5.031,0
6.012,2.0172,1.9874,0.0091,4.803,0
6.106,2.0186,1.9993,-0.0061,5.276,0
6.204,1.9979,2.0134,-0.0051,2.455,0
6.310,1.9512,1.9793,0.0037,3.410,0
6.408,1.9819,1.9999,0.0029,3.494,0
6.515,2.0120,2.0053,0.0005,12.509,0
6.609,2.0091,2.0206,0.0103,8.156,0
6.706,2.0498,2.0098,-0.0040,2.981,0
6.806,2.0124,2.0290,-0.0201,4.246,0
6.907,1.9884,2.0234,0.0103,6.188,0
7.013,1.9994,2.0031,-0.0177,5.301,0
7.105,1.9824,2.0314,-0.0123,3.490,0
7.206,2.0170,2.0177,-0.0135,3.216,0
7.304,1.9747,2.0225,-0.0089,3.123,0
7.405,2.0256,1.9986,-0.0155,3.688,0
7.505,2.0119,2.0425,-0.0024,3.838,0
7.604,2.0168,1.9906,0.0179,2.989,0
7.705,2.0122,2.0082,-0.0003,2.329,0
7.808,2.0147,2.0252,0.0186,6.070,0
7.906,2.0291,2.0045,-0.0007,4.692,0
8.004,2.0151,1.9544,0.0196,3.209,0
8.113,2.0087,1.9827,-0.0002,10.918,0
8.205,1.9920,1.9635,0.0105,2.427,0
8.317,2.0173,1.9844,0.0070,11.549,0
8.408,1.9806,1.9809,0.0140,5.604,0
8.506,2.0329,2.0196,0.0129,3.628,0
8.605,1.9905,1.9751,0.0159,2.695,0
8.707,1.9812,1.9956,-0.0023,5.488,0
8.806,2.0105,1.9789,0.0178,3.628,0
8.908,2.0299,2.0147,-0.0029,2.654,0
9.008,1.9821,1.9997,0.0044,3.255,0
9.106,1.9912,2.0004,0.0108,4.656,0
9.205,1.9945,1.9709,0.0103,3.373,0
9.307,1.9846,2.0574,0.0074,4.494,0
9.412,1.9823,2.0175,0.0135,3.495,0
9.507,2.0505,1.9875,-0.0004,4.192,0
9.609,2.0301,1.9846,0.0186,6.670,0
9.705,2.0169,1.9696,0.0304,3.170,0
9.805,1.9789,1.9380,0.0212,3.437,0
9.910,2.0025,2.0192,0.0272,3.648,0
10.007,1.9867,1.9837,0.0212,4.213,0
10.110,2.0164,1.9827,0.0082,8.306,0
10.204,1.9650,1.9769,0.0370,2.999,0
10.305,1.9919,1.9990,0.0305,3.147,0
10.407,1.9868,2.0084,0.0092,4.192,0
10.505,2.0094,1.9827,0.0425,3.786,0
10.608,2.0199,2.0049,0.0466,3.784,0
10.711,2.0557,2.0255,0.0605,10.036,0
10.819,2.0527,1.9991,0.0529,12.801,0
10.906,2.0576,2.0142,0.0586,4.062,0
11.010,2.0510,2.0216,0.0612,5.203,0
11.108,2.0798,1.9826,0.0851,6.817,0
11.208,2.0731,2.0294,0.0937,4.540,0
11.303,2.0477,2.0066,0.0946,2.411,0
11.405,2.0664,2.0108,0.0858,3.203,0
11.506,2.0357,2.0370,0.0885,3.786,0
11.605,2.0185,2.0242,0.0810,3.453,0
11.707,2.0201,2.0296,0.1021,3.993,0
11.806,2.0548,2.0221,0.0654,3.705,0
11.907,1.9857,2.0079,0.0884,2.879,0
12.007,2.0432,2.0366,0.0841,5.578,0
12.106,2.0136,2.0311,0.0856,4.022,0
12.205,2.0719,1.9980,0.0786,3.182,0
12.309,2.0267,2.0308,0.0963,4.160,0
12.408,2.0928,2.0348,0.0910,6.138,0
12.505,2.0694,2.0118,0.1134,3.124,0
12.606,2.0796,2.0135,0.1072,4.799,0
12.706,2.0476,2.0721,0.1029,3.527,0
12.806,2.0153,2.0538,0.1143,3.717,0
12.905,2.0366,2.0487,0.1015,3.299,0
13.004,2.0309,2.0412,0.1257,2.706,0
13.109,1.9782,2.0296,0.1031,6.823,0
13.206,1.9939,1.9853,0.1088,3.773,0
13.312,1.9807,2.0513,0.1068,8.824,0
13.405,1.9507,2.0310,0.0905,3.217,0
13.508,2.0085,2.0238,0.0985,5.547,0
13.604,1.9806,2.0337,0.0904,3.094,0
13.707,1.9830,2.0391,0.0903,3.922,0
13.810,1.9691,2.0666,0.0666,5.241,0
13.905,1.9483,2.0059,0.0748,2.867,0
14.004,1.9521,2.0509,0.0527,3.219,0
14.106,1.9680,2.0341,0.0574,3.629,0
14.206,1.9484,2.0503,0.0366,3.840,0
14.309,1.9361,1.9977,0.0404,8.207,0
14.409,1.9250,2.0406,0.0475,6.388,0
14.507,1.8925,1.9990,0.0468,3.880,0
14.613,1.8724,2.0010,0.0363,5.907,0
14.706,1.8600,2.0090,0.0517,4.319,0
14.803,1.8625,2.0098,0.0492,2.528,0
14.909,1.8726,1.9812,0.0435,4.044,0
15.008,1.8462,2.0275,0.0292,7.134,0
15.106,1.9083,1.9888,0.0068,4.314,0
15.204,1.8945,1.9935,0.0356,3.156,0
15.306,1.8978,2.0344,0.0299,3.671,0
15.406,1.8899,2.0230,0.0380,3.982,0
15.507,1.8838,2.0500,0.0139,5.922,0
15.607,1.9288,2.0524,0.0081,3.003,0
15.712,1.9189,2.0362,-0.0172,8.612,0
15.806,1.8739,2.0502,-0.0266,4.268,0
15.906,1.8995,2.0573,-0.0234,3.980,0
16.007,1.8569,2.0197,-0.0002,4.327,0
16.104,1.8987,2.0692,0.0032,2.451,0
16.206,1.8886,2.0267,-0.0136,4.677,0
16.306,1.8466,2.0535,0.0024,4.120,0
16.405,1.8711,2.0570,-0.0024,3.305,0
16.505,1.8756,2.0319,-0.0078,3.447,0
16.605,1.9109,2.0556,0.0028,3.449,0
16.712,1.8548,2.0384,0.0038,7.054,0
16.804,1.9127,2.0181,-0.0104,2.911,0
16.904,1.9236,2.0507,-0.0350,2.720,0
17.008,1.9518,2.0231,-0.0146,5.334,0
17.104,1.9430,2.0229,-0.0122,3.183,0
17.204,1.9143,2.0389,0.0058,3.589,0
17.317,1.9098,2.0639,-0.0020,2.937,0
17.409,1.9355,2.0493,0.0203,6.889,0
17.506,1.9124,2.0333,0.0246,3.715,0
17.605,1.8834,2.0793,0.0206,3.637,0
17.706,1.9268,2.1027,0.0156,4.304,0
17.806,1.9080,2.1021,0.0224,2.646,0
