t_sec,x,y,z,solve_ms,n_zero_weights
3.007,4.0280,2.0140,0.0067,5.212,0
3.104,4.0039,2.0016,0.0018,3.492,0
3.203,3.9658,1.9759,0.0005,2.266,0
3.305,3.9760,1.9747,0.0270,3.274,0
3.404,3.9779,1.9892,0.0102,3.088,0
3.505,3.9936,2.0093,0.0329,3.495,0
3.603,3.9980,2.0083,0.0059,2.419,0
3.704,3.9768,2.0114,0.0035,2.750,0
3.805,3.9755,2.0270,0.0178,3.337,0
3.906,3.9763,2.0120,-0.0226,4.524,0
4.004,3.9855,2.0145,-0.0225,2.608,0
4.104,3.9995,1.9969,-0.0172,3.533,0
4.203,4.0090,1.9770,-0.0203,2.424,0
4.306,3.9979,2.0230,-0.0041,5.249,0
4.406,4.0368,1.9968,0.0063,4.112,0
4.505,4.0014,2.0194,0.0365,3.551,0
4.605,3.9793,1.9833,0.0095,2.661,0
4.705,3.9982,2.0361,0.0289,3.543,0
4.803,3.9855,2.0295,0.0040,2.405,0
4.907,4.0068,1.9976,-0.0074,3.417,0
5.004,3.9739,1.9886,0.0159,2.667,0
5.106,4.0216,2.0201,0.0211,3.465,0
5.205,4.0164,2.0111,0.0061,2.600,0
5.304,3.9763,1.9761,0.0023,3.226,0
5.404,3.9859,1.9781,-0.0094,2.934,0
5.507,3.9395,1.9850,-0.0186,5.098,0
5.606,3.9644,1.9841,-0.0019,2.440,0
5.703,4.0048,2.0194,-0.0015,2.219,0
5.803,3.9954,2.0364,-0.0135,2.275,0
5.905,4.0052,2.0183,0.0035,4.125,0
6.002,3.9882,2.0017,0.0010,1.820,0
6.105,4.0291,2.0250,-0.0097,3.663,0
6.205,3.9650,2.0016,-0.0112,2.738,0
6.309,3.9602,1.9646,0.0151,8.072,0
6.405,3.9679,1.9775,0.0236,3.990,0
6.503,4.0246,1.9723,0.0202,2.103,0
6.605,4.0069,1.9807,0.0185,3.688,0
6.704,4.0367,1.9928,-0.0068,3.090,0
6.805,4.0453,1.9991,0.0108,3.606,0
6.904,4.0354,1.9900,-0.0019,3.248,0
7.003,4.0300,1.9834,-0.0113,2.011,0
7.104,4.0133,1.9811,-0.0189,2.384,0
7.205,4.0173,1.9979,-0.0344,3.599,0
7.304,3.9995,1.9835,-0.0340,2.565,0
7.406,3.9629,1.9980,-0.0258,3.331,0
7.507,4.0034,2.0072,-0.0013,4.160,0
7.605,4.0048,1.9935,0.0100,3.457,0
7.709,4.0374,1.9940,0.0123,2.741,0
7.804,4.0060,1.9681,0.0051,2.700,0
7.904,3.9950,1.9856,0.0139,2.373,0
8.005,4.0188,2.0034,0.0051,2.755,0
8.105,3.9772,2.0133,0.0010,3.264,0
8.207,3.9815,1.9821,0.0061,6.613,0
8.304,4.0142,1.9956,0.0060,3.179,0
8.405,4.0202,1.9962,0.0143,3.446,0
8.503,4.0138,1.9993,-0.0010,1.801,0
8.605,3.9775,1.9935,-0.0046,3.804,0
8.705,4.0348,2.0266,-0.0193,3.747,0
8.805,3.9969,1.9861,-0.0112,2.331,0
8.904,4.0144,1.9838,0.0087,3.196,0
9.007,3.9621,1.9641,-0.0136,5.277,0
9.103,3.9765,1.9978,0.0051,2.131,0
9.207,3.9946,2.0133,-0.0073,4.205,0
9.304,3.9898,2.0285,0.0161,2.325,0
9.404,3.9485,1.9788,-0.0113,3.200,0
9.505,3.9274,1.9561,-0.0013,2.371,0
9.605,3.9285,1.9781,-0.0124,3.319,0
9.706,3.9194,2.0125,-0.0147,3.825,0
9.804,3.8989,2.0071,-0.0516,3.178,0
9.904,3.8925,2.0043,-0.0134,3.170,0
10.008,3.8988,2.0209,-0.0159,4.174,0
10.104,3.9513,2.0154,-0.0124,2.792,0
10.205,3.8974,1.9811,-0.0299,2.271,0
10.307,3.8842,1.9926,-0.0211,4.666,0
10.405,3.9362,1.9853,-0.0237,3.592,0
10.506,3.9443,1.9997,-0.0148,3.583,0
10.606,3.9643,1.9864,-0.0398,5.241,0
10.705,3.9325,1.9664,-0.0146,3.252,0
10.805,3.9375,1.9870,-0.0411,3.379,0
10.907,3.9414,1.9545,-0.0310,3.776,0
11.006,3.9116,1.9710,-0.0264,3.627,0
11.103,3.8814,1.9717,-0.0236,2.090,0
11.204,3.9138,1.9716,-0.0135,2.919,0
11.311,3.9158,1.9593,-0.0139,7.636,0
11.407,3.9042,1.9388,-0.0212,2.553,0
11.503,3.9125,1.9299,-0.0156,2.087,0
11.605,3.8859,1.8969,-0.0083,3.766,0
11.703,3.9285,1.8877,-0.0206,2.086,0
11.805,3.9532,1.9197,0.0054,3.822,0
11.905,3.9790,1.9212,-0.0102,2.650,0
12.004,3.9356,1.9407,-0.0327,2.594,0
12.105,3.9216,1.9324,-0.0346,3.473,0
12.204,3.9273,1.9548,-0.0120,3.054,0
12.305,3.9330,1.9688,-0.0273,3.462,0
12.404,3.8907,1.9680,-0.0270,3.063,0
12.506,3.9022,1.9724,-0.0234,3.491,0
12.603,3.9641,1.9932,-0.0113,2.579,0
12.706,3.9474,2.0063,-0.0012,2.449,0
12.805,3.9446,1.9937,-0.0098,3.584,0
12.905,3.9330,2.0245,-0.0185,2.271,0
