t_sec,x,y,z,solve_ms,n_zero_weights
4.104,4.0244,1.9905,-0.0225,2.805,0
4.205,3.9971,1.9994,-0.0294,3.588,0
4.305,4.0154,1.9964,-0.0319,3.076,0
4.406,4.0440,1.9989,-0.0137,3.762,0
4.504,4.0107,2.0253,-0.0151,2.053,0
4.606,4.0568,2.0161,-0.0222,3.190,0
4.705,4.0222,1.9860,-0.0122,3.678,0
4.806,3.9917,2.0117,-0.0184,5.043,0
4.904,3.9734,1.9827,-0.0207,3.271,0
5.006,4.0089,1.9860,0.0039,4.518,0
5.106,4.0151,1.9776,-0.0123,4.113,0
5.204,4.0142,2.0186,-0.0057,2.500,0
5.304,4.0009,1.9932,-0.0421,2.473,0
5.404,4.0131,2.0138,-0.0081,1.755,0
5.503,3.9838,1.9690,-0.0100,2.379,0
5.606,4.0114,1.9698,-0.0100,2.787,0
5.708,4.0186,2.0137,-0.0110,6.921,0
5.807,4.0172,2.0008,-0.0172,4.097,0
5.904,4.0393,1.9790,-0.0312,3.659,0
6.004,4.0149,1.9893,-0.0027,2.473,0
6.103,4.0135,1.9901,0.0108,1.973,0
6.209,3.9770,1.9642,0.0061,6.761,0
6.305,3.9727,2.0250,-0.0145,3.257,0
6.699,3.9613,1.9842,-0.0009,4.039,0
6.706,3.9613,1.9842,-0.0009,5.029,0
6.805,3.9381,1.9683,-0.0084,3.109,0
6.905,3.9541,1.9740,0.0060,3.647,0
7.004,3.9842,1.9982,0.0048,2.841,0
7.106,3.9808,1.9474,-0.0184,3.128,0
7.205,3.9686,1.9837,-0.0120,3.751,0
7.305,4.0065,2.0043,-0.0056,3.457,0
7.405,4.0067,2.0211,-0.0167,3.902,0
7.506,4.0111,2.0190,0.0237,4.379,0
7.606,3.9950,2.0047,-0.0083,3.492,0
7.705,3.9800,2.0059,-0.0067,4.299,0
7.805,4.0031,1.9663,0.0017,2.957,0
7.904,3.9988,2.0056,-0.0019,2.768,0
8.003,4.0435,2.0275,-0.0223,1.680,0
8.105,4.0144,2.0076,-0.0084,3.314,0
8.205,4.0395,2.0379,0.0068,3.507,0
8.304,4.0372,2.0448,0.0046,2.640,0
8.406,4.0481,2.0062,0.0306,5.025,0
8.504,4.0331,2.0103,0.0015,3.096,0
8.606,4.0195,2.0126,-0.0109,5.275,0
8.705,4.0253,2.0197,0.0093,3.676,0
8.804,4.0030,2.0116,-0.0069,3.181,0
8.904,3.9607,1.9974,-0.0096,2.481,0
9.008,3.9987,2.0025,-0.0362,2.783,0
9.106,3.9836,1.9932,-0.0026,3.129,0
9.204,4.0087,2.0060,0.0151,2.588,0
9.305,4.0137,1.9814,-0.0039,3.576,0
9.510,4.0194,1.9838,-0.0121,2.900,0
9.520,4.0194,1.9838,-0.0121,6.649,0
9.607,3.9962,1.9953,0.0097,3.585,0
9.707,3.9738,1.9905,-0.0164,3.366,0
9.804,3.9616,2.0247,0.0139,2.713,0
9.906,4.0083,2.0336,0.0148,3.333,0
10.004,4.0032,2.0363,0.0264,2.244,0
10.105,3.9742,2.0579,0.0168,3.009,0
10.205,3.9424,2.0220,0.0159,3.377,0
10.303,3.9522,2.0359,0.0260,2.395,0
10.403,3.9396,2.0320,0.0176,2.371,0
10.503,3.9994,2.0490,0.0280,1.787,0
10.606,3.9944,2.0353,0.0183,3.756,0
10.705,4.0276,2.0276,0.0571,3.712,0
10.804,4.0272,2.0352,0.0308,3.072,0
10.907,4.0068,2.0340,0.0363,4.143,0
11.004,3.9893,2.0207,0.0589,3.141,0
11.103,3.9739,2.0155,0.0773,2.464,0
11.208,3.9926,2.0306,0.0683,4.089,0
11.306,4.0177,2.0431,0.0683,4.772,0
11.407,3.9791,2.0406,0.0650,4.754,0
11.505,3.9693,2.0391,0.1018,3.500,0
11.604,3.9619,2.0476,0.0805,2.384,0
11.704,3.9553,2.0543,0.0872,3.226,0
11.804,3.9566,2.0392,0.0965,2.920,0
11.904,3.9255,2.0654,0.1105,3.281,0
12.003,3.9201,2.0537,0.0984,2.712,0
12.105,3.8992,2.0392,0.0975,3.584,0
12.203,3.8840,2.0303,0.1407,2.567,0
12.305,3.8968,2.0216,0.1292,3.372,0
12.404,3.8431,1.9811,0.1196,3.086,0
12.504,3.8042,2.0090,0.1156,3.021,0
12.606,3.8117,2.0570,0.1040,3.782,0
12.703,3.8077,2.0427,0.1052,2.315,0
12.803,3.7949,2.0567,0.1129,2.140,0
12.904,3.7973,2.0406,0.1086,2.787,0
13.006,3.7882,2.0227,0.0839,4.014,0
13.105,3.7958,2.0274,0.1046,2.564,0
13.206,3.7934,2.0291,0.1151,4.020,0
