t_sec,x,y,z,solve_ms,n_zero_weights
2.806,3.9979,2.0032,0.0008,3.177,0
2.905,4.0269,1.9751,-0.0147,3.960,0
3.005,4.0347,1.9917,-0.0151,3.344,0
3.108,4.0205,2.0006,-0.0164,4.016,0
3.207,4.0003,1.9869,-0.0217,5.436,0
3.308,4.0212,2.0402,-0.0211,4.816,0
3.404,3.9966,2.0074,-0.0093,3.094,0
3.509,3.9641,1.9628,0.0026,4.846,0
3.603,3.9974,2.0114,0.0048,2.322,0
3.706,3.9819,2.0003,0.0048,4.414,0
3.804,4.0203,2.0277,0.0132,3.192,0
3.906,3.9722,2.0063,-0.0090,4.404,0
4.004,3.9461,1.9946,0.0010,3.038,0
4.104,3.9699,1.9807,-0.0029,3.197,0
4.206,4.0091,1.9697,-0.0124,4.213,0
4.311,3.9906,2.0074,0.0078,7.707,0
4.406,3.9611,1.9634,0.0084,4.107,0
4.508,3.9891,1.9794,0.0037,3.687,0
4.605,4.0577,1.9941,-0.0116,4.538,0
4.708,4.0504,2.0001,0.0127,4.136,0
4.806,4.0400,2.0174,0.0100,3.843,0
4.908,3.9667,1.9982,-0.0110,4.185,0
5.005,3.9971,2.0065,0.0036,4.020,0
5.103,3.9930,2.0050,-0.0024,2.334,0
5.204,4.0369,2.0275,0.0288,2.686,0
5.306,4.0119,2.0308,-0.0243,3.571,0
5.404,4.0524,2.0209,0.0070,3.285,0
5.509,4.0523,2.0688,-0.0100,7.327,0
5.613,4.0435,2.0411,-0.0153,3.331,0
5.709,4.0293,2.0090,0.0000,6.805,0
5.811,4.0419,2.0394,0.0239,8.877,0
5.908,4.0276,2.0527,0.0234,5.463,0
6.007,3.9974,2.0374,0.0066,3.847,0
6.110,4.0151,2.0028,0.0294,5.713,0
6.207,4.0298,2.0165,0.0341,3.851,0
6.307,4.0014,1.9941,-0.0047,3.796,0
6.405,3.9813,1.9974,-0.0060,4.114,0
6.504,3.9740,1.9848,-0.0145,3.138,0
6.610,4.0017,1.9988,-0.0150,5.652,0
6.709,4.0133,2.0027,-0.0009,5.910,0
6.805,3.9991,1.9993,0.0003,2.996,0
6.908,4.0360,2.0176,-0.0170,4.629,0
7.006,4.0176,2.0097,0.0138,4.216,0
7.110,4.0045,1.9860,-0.0111,6.755,0
7.207,3.9786,1.9909,-0.0248,4.625,0
7.308,3.9942,1.9766,-0.0029,4.274,0
7.408,3.9824,2.0077,-0.0100,3.223,0
7.505,4.0101,2.0000,0.0106,3.731,0
7.604,4.0263,1.9817,-0.0121,2.779,0
7.703,3.9980,1.9790,0.0026,2.444,0
7.807,4.0236,2.0101,-0.0002,5.124,0
7.905,3.9759,1.9806,-0.0195,2.541,0
8.005,3.9755,1.9922,-0.0353,3.640,0
8.107,4.0070,2.0141,-0.0093,5.158,0
8.205,3.9769,1.9927,-0.0202,3.816,0
8.306,3.9729,1.9684,-0.0369,4.537,0
8.407,3.9617,1.9482,-0.0268,5.006,0
8.505,4.0021,1.9931,-0.0239,3.256,0
8.606,3.9967,1.9939,-0.0043,4.327,0
8.704,4.0175,1.9826,-0.0141,3.001,0
8.805,4.0330,1.9989,-0.0248,3.568,0
8.904,4.0097,1.9838,-0.0175,2.565,0
9.005,4.0117,2.0030,-0.0198,3.303,0
9.107,3.9924,1.9786,-0.0159,4.372,0
9.205,4.0097,1.9955,0.0104,3.279,0
9.306,4.0024,2.0299,0.0103,4.199,0
9.405,3.9870,2.0388,0.0192,3.900,0
9.506,3.9576,2.0087,-0.0050,3.383,0
9.605,4.0132,2.0588,0.0002,3.567,0
9.705,4.0139,1.9932,-0.0233,3.496,0
9.805,3.9944,2.0184,-0.0301,3.443,0
9.904,3.9948,2.0277,-0.0172,2.643,0
10.005,4.0368,2.0253,-0.0233,3.395,0
10.108,3.9900,2.0291,-0.0477,4.361,0
10.204,4.0219,2.0400,-0.0616,3.484,0
10.305,4.0150,2.0380,-0.0263,2.696,0
10.405,3.9914,2.0315,-0.0484,2.617,0
10.505,4.0252,2.0318,-0.0382,3.009,0
10.606,4.0192,1.9881,-0.0352,3.054,0
10.706,4.0024,1.9875,-0.0220,3.210,0
10.804,3.9791,1.9705,-0.0172,3.399,0
10.904,4.0061,1.9971,-0.0309,2.551,0
11.004,3.9825,1.9826,-0.0382,2.632,0
11.105,3.9596,1.9939,-0.0535,3.938,0
11.210,3.9349,1.9644,-0.0723,4.264,0
11.304,3.9262,1.9251,-0.0658,3.009,0
11.408,3.9678,1.9479,-0.0559,5.966,0
11.506,3.9795,1.9486,-0.0793,4.049,0
11.605,3.9613,1.9964,-0.0600,3.675,0
11.706,3.9360,1.9413,-0.0580,3.415,0
11.807,3.9620,1.9731,-0.0593,4.364,0
11.909,3.9279,1.9806,-0.0522,4.473,0
12.006,3.9637,1.9919,-0.0906,3.213,0
12.107,3.9919,1.9566,-0.0707,3.749,0
12.207,3.9394,1.9556,-0.0855,3.886,0
12.306,3.9483,1.9678,-0.0998,2.681,0
12.407,3.8955,1.9517,-0.0438,6.191,0
12.507,3.9270,2.0045,-0.0789,5.768,0
12.604,3.8965,1.9788,-0.0683,2.584,0
12.706,3.9092,1.9952,-0.0223,3.976,0
12.804,3.9318,1.9932,-0.0547,2.684,0
12.910,3.9276,1.9950,-0.0650,5.119,0
13.008,3.9471,1.9919,-0.0716,3.563,0
13.108,3.9016,1.9768,-0.0469,4.799,0
13.204,3.9448,1.9427,-0.0591,2.832,0
13.308,3.9473,1.9634,-0.0352,3.713,0
13.406,3.9195,1.9602,-0.0165,3.862,0
13.504,3.9225,1.9740,-0.0286,2.807,0
13.606,3.9603,1.9875,-0.0233,3.574,0
13.707,3.9361,1.9672,-0.0263,3.723,0
13.812,3.9711,1.9363,-0.0530,11.317,0
13.905,3.9761,1.9615,-0.0290,3.146,0
14.009,3.9585,1.9742,-0.0498,3.540,0
14.107,3.9854,1.9770,-0.0726,5.135,0
14.206,3.9199,1.9479,-0.0347,3.424,0
14.305,3.9234,1.9432,-0.0233,3.521,0
14.412,3.9022,1.9500,-0.0345,10.337,0
14.505,3.9451,1.9525,-0.0384,3.092,0
14.606,3.9322,1.9411,-0.0329,3.679,0
14.708,3.9323,1.9369,-0.0291,4.520,0
14.807,3.9281,1.9088,-0.0168,4.422,0
14.906,3.9493,1.9422,-0.0035,3.478,0
15.005,3.9510,1.9369,0.0195,3.953,0
15.108,3.9522,1.9312,-0.0011,4.072,0
15.204,3.9366,1.9360,0.0286,2.747,0
15.307,3.9525,1.9055,-0.0012,3.739,0
15.404,3.9636,1.9193,0.0052,3.340,0
15.511,3.9544,1.9057,0.0313,4.703,0
15.609,3.9877,1.9111,0.0131,5.472,0
15.710,3.9937,1.9374,0.0221,6.784,0
15.807,4.0246,1.9712,0.0347,6.245,0
15.906,4.0175,1.9339,0.0252,4.054,0
16.008,4.0242,1.9471,0.0173,4.291,0
16.109,4.0250,1.9050,0.0353,6.297,0
16.207,4.0643,1.9826,0.0202,3.643,0
16.309,4.0752,1.9619,0.0552,5.472,0
16.406,4.0759,1.9550,0.0058,5.135,0
16.506,4.0679,1.9784,0.0035,4.324,0
16.606,4.0832,1.9766,0.0169,4.448,0
16.704,4.0706,2.0078,0.0168,2.894,0
16.806,4.0682,1.9854,0.0107,3.199,0
16.905,4.0420,2.0061,0.0152,4.005,0
17.005,4.1022,2.0259,0.0153,3.297,0
17.107,4.1137,2.0356,0.0105,4.922,0
17.209,4.1400,2.0320,-0.0053,7.166,0
17.307,4.1054,2.0225,0.0360,3.147,0
17.408,4.1484,2.0382,0.0041,6.935,0
17.503,4.1557,2.0446,-0.0283,2.690,0
17.607,4.1558,2.0444,-0.0086,3.006,0
17.708,4.1063,2.0237,0.0028,3.726,0
17.808,4.1564,2.0323,-0.0038,5.904,0
17.912,4.0910,2.0013,-0.0252,9.359,0
18.005,4.0903,1.9909,-0.0293,2.602,0
18.106,4.1116,1.9996,-0.0173,4.277,0
18.210,4.1209,1.9578,-0.0134,7.693,0
18.311,4.0824,1.9629,-0.0036,4.623,0
18.406,4.0734,1.9755,-0.0093,4.837,0
18.505,4.0825,1.9767,0.0037,3.152,0
18.606,4.0851,1.9789,0.0014,2.996,0
18.706,4.0850,1.9793,-0.0331,4.142,0
18.807,4.1073,1.9741,-0.0286,3.888,0
18.910,4.0843,1.9716,-0.0353,5.112,0
19.007,4.0499,1.9525,-0.0419,4.416,0
19.109,4.0854,1.9380,-0.0075,5.251,0
19.204,4.0989,1.9562,-0.0421,2.803,0
19.314,4.0992,1.9215,-0.0419,8.854,0
19.408,4.0616,1.9560,-0.0361,6.198,0
19.506,4.0672,1.9973,-0.0353,4.663,0
19.613,4.0715,1.9705,-0.0448,8.463,0
19.713,4.0622,1.9596,-0.0421,9.151,0
19.804,4.0149,1.9611,-0.0284,2.817,0
19.911,4.0450,1.9666,-0.0452,8.631,0
20.013,4.0588,1.9643,-0.0280,9.805,0
20.104,4.1043,1.9835,-0.0351,3.199,0
20.205,4.0866,1.9932,-0.0293,3.609,0
20.306,4.1096,1.9630,-0.0208,3.701,0
20.414,4.1406,1.9731,-0.0441,8.622,0
20.506,4.0834,1.9708,-0.0231,3.947,0
20.604,4.0833,1.9547,-0.0108,2.641,0
20.706,4.1218,1.9615,-0.0546,4.896,0
20.814,4.1210,1.9676,-0.0378,9.119,0
20.911,4.1534,1.9647,-0.0350,7.967,0
21.007,4.1082,1.9357,-0.0229,3.128,0
21.111,4.1316,1.9649,-0.0647,3.496,0
21.206,4.0796,1.9546,-0.0493,3.651,0
21.305,4.1077,1.9735,-0.0784,2.561,0
21.403,4.0703,1.9753,-0.0619,2.728,0
21.513,4.0605,1.9894,-0.0411,9.556,0
21.624,4.0330,1.9599,-0.0654,15.554,0
21.706,4.0356,1.9689,-0.0337,4.503,0
21.804,4.0458,1.9843,-0.0449,2.728,0
21.920,4.0064,2.0012,-0.0274,5.402,0
22.006,3.9912,1.9592,-0.0255,3.047,0
22.109,4.0346,1.9834,-0.0007,4.229,0
22.206,4.0390,1.9871,0.0027,3.292,0
22.307,4.0180,2.0054,-0.0045,4.057,0
22.405,4.0030,2.0131,0.0103,2.643,0
22.505,3.9671,1.9952,-0.0011,3.216,0
22.608,3.9931,2.0046,0.0151,7.110,0
22.706,4.0291,2.0258,0.0204,4.371,0
22.806,4.0052,2.0097,0.0082,3.699,0
22.906,3.9970,2.0425,0.0123,2.806,0
23.005,4.0195,2.0384,0.0226,3.659,0
23.105,3.9891,2.0214,0.0180,3.894,0
23.208,3.9852,2.0153,0.0095,6.652,0
23.310,3.9658,2.0110,0.0189,7.947,0
23.409,3.9803,1.9933,0.0195,6.494,0
23.508,4.0066,1.9916,0.0199,4.287,0
23.608,3.9932,2.0109,0.0221,6.096,0
23.707,3.9889,2.0035,0.0396,3.650,0
23.805,3.9727,1.9709,0.0321,4.051,0
23.905,3.9605,1.9800,0.0463,3.597,0
24.007,3.9402,1.9577,0.0145,3.265,0
24.104,3.9481,1.9864,0.0197,2.689,0
24.214,3.9633,2.0052,0.0188,7.977,0
24.309,3.9372,1.9918,0.0175,5.090,0
24.408,3.9736,1.9903,0.0192,4.360,0
24.506,3.9874,2.0053,0.0185,4.316,0
24.604,3.9769,2.0312,0.0206,3.396,0
24.709,3.9620,2.0155,0.0153,7.699,0
24.808,4.0149,2.0045,-0.0072,4.306,0
24.907,4.0208,1.9732,0.0011,4.773,0
25.005,3.9852,2.0227,-0.0154,2.634,0
25.107,3.9739,2.0155,-0.0088,5.229,0
25.206,3.9907,2.0229,0.0066,2.212,0
25.304,4.0262,2.0375,-0.0180,2.541,0
25.404,4.0341,2.0391,-0.0074,3.071,0
25.503,4.0755,2.0498,0.0056,1.993,0
25.611,4.0813,2.0496,-0.0081,5.992,0
25.710,4.0614,2.0890,0.0071,7.245,0
28.244,4.0506,2.0603,0.0332,2.423,0
28.346,4.0046,2.0450,-0.0068,3.846,0
28.446,4.0079,2.0430,0.0057,2.479,0
28.546,3.9972,2.0379,-0.0073,3.844,0
28.644,3.9766,2.0407,-0.0133,2.745,0
28.746,4.0277,2.0305,0.0033,2.921,0
28.844,4.0511,2.0379,-0.0035,2.393,0
28.953,4.0466,2.0206,-0.0080,6.611,0
29.049,4.0029,1.9723,-0.0097,4.349,0
29.148,4.0274,1.9802,-0.0288,4.198,0
29.247,4.0155,2.0053,0.0243,2.512,0
29.347,3.9742,1.9748,0.0127,3.901,0
29.447,3.9667,1.9474,0.0335,3.653,0
29.548,4.0153,1.9860,0.0040,3.749,0
29.651,3.9978,1.9886,-0.0235,4.350,0
29.746,3.9787,1.9479,-0.0186,2.790,0
29.846,3.9750,1.9739,0.0050,2.323,0
29.946,3.9743,1.9604,0.0081,3.696,0
