t_s,phase,mode,msg_age_s,px4_1_est_x,px4_1_est_y,px4_1_est_z,px4_1_gt_x,px4_1_gt_y,px4_1_gt_z,px4_1_error_m,px4_3_est_x,px4_3_est_y,px4_3_est_z,px4_3_gt_x,px4_3_gt_y,px4_3_gt_z,px4_3_error_m
0.085,warmup,delayed,0.000,,,,,,,,,,,,,,
0.126,warmup,delayed,0.000,,,,,,,,,,,,,,
0.165,warmup,delayed,0.000,,,,,,,,,,,,,,
0.205,warmup,delayed,0.000,,,,,,,,,,,,,,
0.245,warmup,delayed,0.000,,,,,,,,,,,,,,
0.286,warmup,delayed,0.000,,,,,,,,,,,,,,
0.326,warmup,delayed,0.000,,,,,,,,,,,,,,
0.365,warmup,delayed,0.000,,,,,,,,,,,,,,
0.405,warmup,delayed,0.000,,,,,,,,,,,,,,
0.445,warmup,delayed,0.000,,,,,,,,,,,,,,
0.485,warmup,delayed,0.000,,,,,,,,,,,,,,
0.525,warmup,delayed,0.000,,,,,,,,,,,,,,
0.565,warmup,delayed,0.000,,,,,,,,,,,,,,
0.605,warmup,delayed,0.000,,,,,,,,,,,,,,
0.645,warmup,delayed,0.000,,,,,,,,,,,,,,
0.685,warmup,delayed,0.000,,,,,,,,,,,,,,
0.725,warmup,delayed,0.000,,,,,,,,,,,,,,
0.765,warmup,delayed,0.000,,,,,,,,,,,,,,
0.805,warmup,delayed,0.000,,,,,,,,,,,,,,
0.845,warmup,delayed,0.000,,,,,,,,,,,,,,
0.885,warmup,delayed,0.000,,,,,,,,,,,,,,
0.925,warmup,delayed,0.000,,,,,,,,,,,,,,
0.965,warmup,delayed,0.000,,,,,,,,,,,,,,
1.005,warmup,delayed,0.000,,,,,,,,,,,,,,
1.045,warmup,delayed,0.000,,,,,,,,,,,,,,
1.085,warmup,delayed,0.000,,,,,,,,,,,,,,
1.125,warmup,delayed,0.000,,,,,,,,,,,,,,
1.165,warmup,delayed,0.000,,,,,,,,,,,,,,
1.205,warmup,delayed,0.000,,,,,,,,,,,,,,
1.245,warmup,delayed,0.000,,,,,,,,,,,,,,
1.285,warmup,delayed,0.000,,,,,,,,,,,,,,
1.325,warmup,delayed,0.000,,,,,,,,,,,,,,
1.365,warmup,delayed,0.000,,,,,,,,,,,,,,
1.405,warmup,delayed,0.000,,,,,,,,,,,,,,
1.445,warmup,delayed,0.000,,,,,,,,,,,,,,
1.485,warmup,delayed,0.000,,,,,,,,,,,,,,
1.525,warmup,delayed,0.000,,,,,,,,,,,,,,
1.566,warmup,delayed,0.000,,,,,,,,,,,,,,
1.605,warmup,delayed,0.000,,,,,,,,,,,,,,
1.645,warmup,delayed,0.000,,,,,,,,,,,,,,
1.685,warmup,delayed,0.000,,,,,,,,,,,,,,
1.725,warmup,delayed,0.000,,,,,,,,,,,,,,
1.765,warmup,delayed,0.000,,,,,,,,,,,,,,
1.805,warmup,delayed,0.000,,,,,,,,,,,,,,
1.845,warmup,delayed,0.000,,,,,,,,,,,,,,
1.885,warmup,delayed,0.000,,,,,,,,,,,,,,
1.925,warmup,delayed,0.000,,,,,,,,,,,,,,
1.966,warmup,delayed,0.000,,,,,,,,,,,,,,
2.005,warmup,delayed,0.000,,,,,,,,,,,,,,
2.045,warmup,delayed,0.000,,,,,,,,,,,,,,
2.085,warmup,delayed,0.000,,,,,,,,,,,,,,
2.125,warmup,delayed,0.000,,,,,,,,,,,,,,
2.165,warmup,delayed,0.000,,,,,,,,,,,,,,
2.205,warmup,delayed,0.000,,,,,,,,,,,,,,
2.245,warmup,delayed,0.000,,,,,,,,,,,,,,
2.285,warmup,delayed,0.000,,,,,,,,,,,,,,
2.325,warmup,delayed,0.000,,,,,,,,,,,,,,
2.365,warmup,delayed,0.000,,,,,,,,,,,,,,
2.405,warmup,delayed,0.000,,,,,,,,,,,,,,
2.445,warmup,delayed,0.000,,,,,,,,,,,,,,
2.485,warmup,delayed,0.000,,,,,,,,,,,,,,
2.525,warmup,delayed,0.000,,,,,,,,0.0000,-6.3087,1.3720,-0.0000,2.0000,-0.0130,8.4233
2.565,warmup,delayed,0.000,0.0000,-8.2425,1.3765,-0.0000,0.0000,-0.0130,8.3588,0.0000,-6.3087,1.3720,-0.0000,2.0000,-0.0130,8.4233
2.605,warmup,delayed,0.000,0.0000,-8.2425,1.3765,-0.0000,0.0000,-0.0130,8.3588,0.0000,-6.3087,1.3720,-0.0000,2.0000,-0.0130,8.4233
2.646,warmup,delayed,0.000,0.0000,-8.2317,1.3699,-0.0000,0.0000,-0.0130,8.3470,0.0000,-6.1921,1.3684,-0.0000,2.0000,-0.0130,8.3077
2.685,warmup,delayed,0.000,0.0000,-8.2317,1.3699,-0.0000,0.0000,-0.0130,8.3470,0.0000,-6.1921,1.3684,-0.0000,2.0000,-0.0130,8.3077
2.725,warmup,delayed,0.000,0.0000,-8.2317,1.3699,-0.0000,0.0000,-0.0130,8.3470,0.0000,-6.2268,1.3531,-0.0000,2.0000,-0.0130,8.3395
