t_s,num_ghosts,phase,px4_1_est_x,px4_1_est_y,px4_1_est_z,px4_1_gt_x,px4_1_gt_y,px4_1_gt_z,px4_1_error_m,px4_3_est_x,px4_3_est_y,px4_3_est_z,px4_3_gt_x,px4_3_gt_y,px4_3_gt_z,px4_3_error_m
0.144,3,warmup,,,,,,,,,,,,,,
0.243,3,warmup,,,,,,,,,,,,,,
0.343,3,warmup,,,,,,,,,,,,,,
0.443,3,warmup,,,,,,,,,,,,,,
0.544,3,warmup,,,,,,,,,,,,,,
0.643,3,warmup,,,,,,,,,,,,,,
0.744,3,warmup,,,,,,,,,,,,,,
0.843,3,warmup,,,,,,,,,,,,,,
0.944,3,warmup,,,,,,,,,,,,,,
1.271,3,warmup,,,,,,,,,,,,,,
1.343,3,warmup,,,,,,,,,,,,,,
1.443,3,warmup,,,,,,,,,,,,,,
1.544,3,warmup,,,,,,,,,,,,,,
1.643,3,warmup,0.0000,-1.0641,0.2846,-0.0000,0.0000,-0.0130,1.1049,0.0000,0.9865,0.3039,-0.0000,2.0000,-0.0130,1.0619
1.743,3,warmup,0.0000,-1.0844,0.2883,-0.0000,0.0000,-0.0130,1.1255,0.0000,0.9271,0.2749,-0.0000,2.0000,-0.0130,1.1109
1.843,3,warmup,0.0000,-1.0179,0.2864,-0.0000,0.0000,-0.0130,1.0610,0.0000,0.9551,0.2772,-0.0000,2.0000,-0.0130,1.0844
1.943,3,warmup,0.0000,-1.0080,0.2828,-0.0000,0.0000,-0.0130,1.0505,0.0000,0.9940,0.2999,-0.0000,2.0000,-0.0130,1.0535
2.044,3,warmup,0.0000,-1.0217,0.2765,-0.0000,0.0000,-0.0130,1.0620,0.0000,0.8919,0.2741,-0.0000,2.0000,-0.0130,1.1447
2.143,3,warmup,0.0000,-1.0329,0.2517,-0.0000,0.0000,-0.0130,1.0663,0.0000,0.9830,0.2605,-0.0000,2.0000,-0.0130,1.0531
2.243,3,warmup,0.0000,-1.0702,0.2668,-0.0000,0.0000,-0.0130,1.1062,0.0000,0.9416,0.2526,-0.0000,2.0000,-0.0130,1.0913
2.343,3,warmup,0.0000,-1.0393,0.2809,-0.0000,0.0000,-0.0130,1.0801,0.0000,1.0094,0.2894,-0.0000,2.0000,-0.0130,1.0357
2.444,3,warmup,0.0000,-1.0439,0.2810,-0.0000,0.0000,-0.0130,1.0845,0.0000,0.9648,0.2887,-0.0000,2.0000,-0.0130,1.0783
2.544,3,warmup,0.0000,-0.9764,0.2926,-0.0000,0.0000,-0.0130,1.0231,0.0000,1.0800,0.2909,-0.0000,2.0000,-0.0130,0.9689
2.644,3,warmup,0.0000,-1.0240,0.2960,-0.0000,0.0000,-0.0130,1.0696,0.0000,1.0344,0.2897,-0.0000,2.0000,-0.0130,1.0120
2.743,3,warmup,0.0000,-1.0069,0.2840,-0.0000,0.0000,-0.0130,1.0498,0.0000,0.9653,0.2904,-0.0000,2.0000,-0.0130,1.0783
2.843,3,warmup,0.0000,-0.9885,0.3033,-0.0000,0.0000,-0.0130,1.0379,0.0000,1.0077,0.2987,-0.0000,2.0000,-0.0130,1.0401
2.943,3,warmup,0.0000,-0.9978,0.2873,-0.0000,0.0000,-0.0130,1.0420,0.0000,1.0632,0.2973,-0.0000,2.0000,-0.0130,0.9868
3.044,3,warmup,0.0000,-0.9989,0.3053,-0.0000,0.0000,-0.0130,1.0484,0.0000,1.0363,0.3096,-0.0000,2.0000,-0.0130,1.0163
3.143,3,warmup,0.0000,-1.0063,0.3076,-0.0000,0.0000,-0.0130,1.0562,0.0000,0.9255,0.2965,-0.0000,2.0000,-0.0130,1.1182
3.243,3,warmup,0.0000,-1.0316,0.2818,-0.0000,0.0000,-0.0130,1.0729,0.0000,1.0097,0.2915,-0.0000,2.0000,-0.0130,1.0361
3.343,3,warmup,0.0000,-1.0776,0.2846,-0.0000,0.0000,-0.0130,1.1179,0.0000,0.9409,0.2864,-0.0000,2.0000,-0.0130,1.1006
3.445,3,warmup,0.0000,-1.0728,0.2811,-0.0000,0.0000,-0.0130,1.1124,0.0000,0.8632,0.2798,-0.0000,2.0000,-0.0130,1.1739
3.544,3,warmup,0.0000,-1.0728,0.2811,-0.0000,0.0000,-0.0130,1.1124,0.0000,0.8605,0.2798,-0.0000,2.0000,-0.0130,1.1766
3.643,3,warmup,0.0000,-1.2778,0.2637,-0.0000,0.0000,-0.0130,1.3074,0.0000,0.8128,0.2648,-0.0000,2.0000,-0.0130,1.2192
3.743,3,warmup,0.0000,-1.2255,0.2697,-0.0000,0.0000,-0.0130,1.2577,0.0000,0.6826,0.2474,-0.0000,2.0000,-0.0130,1.3429
