t_s,phase,scale,true_dist_m,reported_dist_m,px4_1_est_x,px4_1_est_y,px4_1_est_z,px4_1_gt_x,px4_1_gt_y,px4_1_gt_z,px4_1_error_m,px4_3_est_x,px4_3_est_y,px4_3_est_z,px4_3_gt_x,px4_3_gt_y,px4_3_gt_z,px4_3_error_m,est_separation_m
0.086,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.126,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.167,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.206,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.246,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.286,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.327,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.367,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.406,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.447,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.486,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.526,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.566,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.606,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.647,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.687,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.727,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.766,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.806,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.846,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.886,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.926,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
0.967,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
1.006,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
1.046,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
1.086,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
1.126,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
1.166,warmup,0.050,0.0000,0.0000,,,,,,,,,,,,,,,0.0000
1.208,warmup,0.050,0.0000,0.0000,0.0000,-9.3470,1.5553,-0.0000,0.0000,-0.0130,9.4776,0.0000,-7.3389,1.5615,-0.0000,2.0000,-0.0130,9.4707,2.0081
1.246,warmup,0.050,0.0000,0.0000,0.0000,-9.4034,1.5360,-0.0000,0.0000,-0.0130,9.5301,0.0000,-7.3389,1.5615,-0.0000,2.0000,-0.0130,9.4707,2.0646
1.286,warmup,0.050,0.0000,0.0000,0.0000,-9.4034,1.5360,-0.0000,0.0000,-0.0130,9.5301,0.0000,-7.3389,1.5615,-0.0000,2.0000,-0.0130,9.4707,2.0646
1.326,warmup,0.050,0.0000,0.0000,0.0000,-9.3475,1.5460,-0.0000,0.0000,-0.0130,9.4766,0.0000,-7.3582,1.5455,-0.0000,2.0000,-0.0130,9.4871,1.9892
1.366,warmup,0.050,0.0000,0.0000,0.0000,-9.3475,1.5460,-0.0000,0.0000,-0.0130,9.4766,0.0000,-7.3582,1.5455,-0.0000,2.0000,-0.0130,9.4871,1.9892
1.406,warmup,0.050,0.0000,0.0000,0.0000,-9.3475,1.5460,-0.0000,0.0000,-0.0130,9.4766,0.0000,-7.3219,1.5410,-0.0000,2.0000,-0.0130,9.4505,2.0256
1.446,warmup,0.050,0.0000,0.0000,0.0000,-9.3603,1.5341,-0.0000,0.0000,-0.0130,9.4873,0.0000,-7.3219,1.5410,-0.0000,2.0000,-0.0130,9.4505,2.0385
1.486,warmup,0.050,0.0000,0.0000,0.0000,-9.3603,1.5341,-0.0000,0.0000,-0.0130,9.4873,0.0000,-7.3219,1.5410,-0.0000,2.0000,-0.0130,9.4505,2.0385
1.526,warmup,0.050,0.0000,0.0000,0.0000,-9.3731,1.5282,-0.0000,0.0000,-0.0130,9.4989,0.0000,-7.3594,1.5149,-0.0000,2.0000,-0.0130,9.4833,2.0137
1.566,warmup,0.050,0.0000,0.0000,0.0000,-9.3731,1.5282,-0.0000,0.0000,-0.0130,9.4989,0.0000,-7.3594,1.5149,-0.0000,2.0000,-0.0130,9.4833,2.0137
